satno,cosparId,name,objectClass,mass,shape,width,height,depth,diameter,span,xSectMax,xSectMin,xSectAvg,firstEpoch,mission,predDecayDate,active,cataloguedFragments,onOrbitCataloguedFragments
48585.0,2021-041AJ,Starlink 2240,Payload,260.0,Box + 1 Pan,3.7,0.1,1.5,,8.86,23.657,0.2311,13.5615,2021-05-24,Commercial Communications,,False,0,0
57103.0,2023-090C,Starlink 6123,Payload,305.0,Box + 1 Pan,2.8,0.2,2.8,,9.0,27.592107631237894,0.5599999999999999,11.087466666666666,2023-07-02,Commercial Communications,,False,0,0
45562.0,2020-025AH,Starlink 1354,Payload,260.0,Box + 1 Pan,3.7,0.1,1.5,,8.86,23.657,0.2311,13.5615,2020-04-29,Commercial Communications,,False,0,0
52460.0,2022-049K,Starlink 3865,Payload,260.0,Box + 1 Pan,3.7,0.1,1.5,,8.86,23.657,0.2311,13.5615,2022-05-13,Commercial Communications,,False,0,0
46233.0,2020-058B,Duogongneng Shiyan Weixing,Payload,10.0,Box,0.2,0.3,0.2,,0.3,0.09380831519646861,0.04000000000000001,0.08,2020-08-23,Defense Technology,,,0,0
55562.0,2023-019A,EOS-07,Payload,156.0,Box,0.6,0.6,0.6,,0.6,0.6235382907247958,0.36,0.54,2023-02-10,Civil Imaging,,,0,0
57846.0,2023-141G,Starlink 30420,Payload,730.0,Box + 2 Pan,4.1,0.3,2.7,,29.0,92.83994369451119,0.81,33.88386666666666,2023-09-21,Commercial Communications,,False,0,0
47726.0,2021-017E,Starlink 2126,Payload,260.0,Box + 1 Pan,3.7,0.1,1.5,,8.86,23.657,0.2311,13.5615,2021-03-11,Commercial Communications,,False,0,0
53625.0,2022-104AP,Starlink 4603,Payload,260.0,Box + 1 Pan,3.7,0.1,1.5,,8.86,23.657,0.2311,13.5615,2022-09-02,Commercial Communications,,False,0,0
51982.0,2022-025AC,Starlink 3650,Payload,260.0,Box + 1 Pan,3.7,0.1,1.5,,8.86,23.657,0.2311,13.5615,2022-03-16,Commercial Communications,,False,0,0
56224.0,2023-054AY,REVELA,Payload,4.0,Box,0.1,0.3,0.1,,0.3,0.04358898943540674,0.010000000000000002,0.035,2023-06-06,Commercial Imaging,,False,0,0
47394.0,2021-005AX,Starlink 2115,Payload,260.0,Box + 1 Pan,3.7,0.1,1.5,,8.86,23.657,0.2311,13.5615,2021-01-25,Commercial Communications,,False,0,0
46071.0,2020-055AW,Starlink 1538,Payload,260.0,Box + 1 Pan,3.7,0.1,1.5,,8.86,23.657,0.2311,13.5615,2020-08-13,Commercial Communications,,False,0,0
47891.0,2021-021AH,Starlink 2351,Payload,260.0,Box + 1 Pan,3.7,0.1,1.5,,8.86,23.657,0.2311,13.5615,2021-03-22,Commercial Communications,,,0,0
47768.0,2021-017AY,Starlink 2189,Payload,260.0,Box + 1 Pan,3.7,0.1,1.5,,8.86,23.657,0.2311,13.5615,2021-03-11,Commercial Communications,,,0,0
53865.0,2022-114AZ,Starlink 4785,Payload,260.0,Box + 1 Pan,3.7,0.1,1.5,,8.86,23.657,0.2311,13.5615,2022-09-23,Commercial Communications,,,0,0
58690.0,2023-174DE,PICO-1A-7,Payload,0.5,Box,0.1,0.03,0.1,,0.1,0.010862780491200218,0.003,0.008,2023-12-12,Commercial Communications,,,0,0
53862.0,2022-114AW,Starlink 4792,Payload,260.0,Box + 1 Pan,3.7,0.1,1.5,,8.86,23.657,0.2311,13.5615,2022-09-23,Commercial Communications,,,0,0
53133.0,2022-083B,Starlink 4154,Payload,260.0,Box + 1 Pan,3.7,0.1,1.5,,8.86,23.657,0.2311,13.5615,2022-07-21,Commercial Communications,,,0,0
52381.0,2022-045BC,Starlink 3803,Payload,260.0,Box + 1 Pan,2.8,0.2,2.8,,9.0,27.592107631237894,0.5599999999999999,11.087466666666666,2022-05-04,Commercial Communications,,,0,0
45767.0,2020-038AP,Starlink 1511,Payload,260.0,Box + 1 Pan,3.7,0.1,1.5,,8.86,23.657,0.2311,13.5615,2020-06-17,Commercial Communications,,,0,0
47869.0,2021-021K,Starlink 2324,Payload,260.0,Box + 1 Pan,3.7,0.1,1.5,,8.86,23.657,0.2311,13.5615,2021-03-22,Commercial Communications,,,0,0
